Station,Place,Local authority,Managed by,Station code,Travelcard Zone,Principal lines,Latitude,Longitude,DurationTerm,Terminus
Kent House,Penge,Bromley,Southeastern,KTH,4,Chatham Main,51.4123 ,-0.0453,,
Kentish Town,Kentish Town,Camden,London Underground,KTN,2,Thameslink,51.5505 ,-0.1396,,
Kentish Town West,Kentish Town,Camden,London Overground,KTW,2,North London,51.5468 ,-0.1468,,
Kenton,Kenton,Brent,London Underground,KNT,4,Watford DC,51.5818 ,-0.3167,,
Kew Bridge,Kew Bridge,Hounslow,South West Trains,KWB,3,Hounslow Loop,51.4895 ,-0.2878,30,Waterloo
Kew Gardens,Kew Gardens,Richmond,London Underground,KWG,3,North London,51.4772 ,-0.2849,,
Kidbrooke,Kidbrooke,Greenwich,Southeastern,KDB,3,Bexleyheath,51.4621 ,0.0273,,
Kilburn High Road,Kilburn,Camden,London Overground,KBN,2,Watford DC,51.5373 ,-0.1925,,
Kingston,Kingston,Kingston,South West Trains,KNG,6,Kingston Loop,51.4129 ,-0.3019,32,Waterloo
Knockholt,Chelsfield,Bromley,Southeastern,KCK,6,South Eastern Main,51.3459 ,0.1307,,
Ladywell,Ladywell,Lewisham,Southeastern,LAD,3,Dartford Loop and Mid-Kent,51.4562 ,-0.0192,,
Lee,Lee,Lewisham,Southeastern,LEE,3,Dartford Loop,51.4497 ,0.0128,,
Lewisham,Lewisham,Lewisham,Southeastern,LEW,2,Southeastern Main,51.4658 ,-0.0141,,
Leyton Midland Road,Leyton,Waltham Forest,London Overground,LEM,3,Gospel Oak to Barking,51.5693 ,-0.0072,,
Leytonstone High Road,Leytonstone,Waltham Forest,London Overground,LER,3,Gospel Oak to Barking,51.5634 ,0.0073,,
Limehouse,Limehouse,Tower Hamlets,c2c,LHS,2,"L, T & S",51.5126 ,-0.0402,,
London Bridge,London Bridge,Southwark,Network Rail,LBG,1,South Eastern Main,51.5053 ,-0.0851,,
London Fields,London Fields,Hackney,National Express East Anglia,LOF,2,Lea Valley,51.5407 ,-0.0577,,
Loughborough Junction,Brixton,Lambeth,First Capital Connect,LGJ,2,Thameslink,51.4661 ,-0.102,,
Lower Sydenham,Beckenham,Lewisham,Southeastern,LSY,4,Mid-Kent,51.4245 ,-0.0336,,
Malden Manor,Old Malden,Kingston,South West Trains,MAL,4,Chessington Branch,51.3847 ,-0.2618,31,Waterloo
Manor Park,Manor Park,Newham,National Express East Anglia,MNP,3,Great Eastern Main,51.5526 ,0.0463,,
Maryland,Maryland,Newham,National Express East Anglia,MYL,3,Great Eastern Main,51.546 ,0.0059,,
Maze Hill,Maze Hill,Greenwich,Southeastern,MZH,3,Greenwich,51.483 ,0.0032,,
