1266,Achintee,57,25,5,25.3,W,HL,Highland,O
1268,Achintraid,57,23.1,5,35.2,W,HL,Highland,O
1277,Achleck,56,31.8,6,12.2,W,AR,Argyll and Bute,O
1291,Achluachrach,56,53.6,4,47,W,HL,Highland,O
1292,Achlyness,58,25.5,5,0.3,W,HL,Highland,O
1293,Achmelvich,58,10,5,18.4,W,HL,Highland,O
1296,Achmore,57,20.5,5,33.9,W,HL,Highland,O
1297,Achmore,57,54.8,5,20.1,W,HL,Highland,O
1312,Achnacarnin,58,14.3,5,19.8,W,HL,Highland,O
1314,Achnacarry,56,56.6,5,0,W,HL,Highland,O
1321,Achnacloich/Ach na Cloiche,57,6.3,5,58.3,W,HL,Highland,O
1334,Achnacroish,56,30.5,5,29.2,W,AR,Argyll and Bute,O
1348,Achnaha,56,44.3,6,8.8,W,HL,Highland,O
1353,Achnahanat,57,57.1,4,30.6,W,HL,Highland,O
1356,Achnahannet,57,19.6,3,42.2,W,HL,Highland,O
1357,Achnahard,56,19.9,6,12.9,W,AR,Argyll and Bute,O
1360,Achnahuaigh,58,32.8,4,25.9,W,HL,Highland,O
1362,Achnairn,58,4.7,4,27,W,HL,Highland,O
1366,Achnamara,56,1.7,5,34.3,W,AR,Argyll and Bute,O
1377,Achnasheen/Achadh na Sine,57,34.8,5,4.2,W,HL,Highland,O
1397,Achosnich,56,43.7,6,10.6,W,HL,Highland,O
1404,Achreamie,58,34.5,3,41.6,W,HL,Highland,O
1409,Achriesgill,58,26.6,4,59.4,W,HL,Highland,O
1411,Achrimsdale,58,2,3,51.3,W,HL,Highland,O
1428,Achtalean,57,26.3,6,12.5,W,HL,Highland,O
1430,Achterneed,57,36,4,32.1,W,HL,Highland,O
1431,Achtoty,58,31.8,4,16.5,W,HL,Highland,O
1439,Achurch,52,25.8,0,29.5,W,NN,Northamptonshire,O
1440,Achuvoldrach,58,29.5,4,27.7,W,HL,Highland,O
1454,Ackenthwaite,54,13.6,2,45.5,W,CU,Cumbria,O
1455,Ackergill,58,27.9,3,6.3,W,HL,Highland,O
1466,Acklam,54,33,1,15,W,MB,Middlesbrough,O
1467,Acklam,54,2.6,0,48,W,NY,North Yorkshire,O
1473,Ackleton,52,35,2,19.9,W,SH,Shropshire,O
1477,Acklington,55,18.4,1,38.7,W,ND,Northumberland,O
1481,Ackton,53,41.3,1,22.3,W,WE,Wakefield,O
1484,Ackworth Moor Top,53,38.6,1,20.5,W,WE,Wakefield,O
1490,Acle,52,38.3,1,33.3,E,NK,Norfolk,O
1494,Acock's Green,52,26.9,1,49.8,W,BI,Birmingham,O
1495,Acol,51,21.5,1,18.7,E,KT,Kent,O
1496,Acomb,54,59.6,2,6.1,W,ND,Northumberland,O
1497,Acomb,53,56.8,1,7.4,W,YK,York,O
1514,Acre,53,33.3,2,5.9,W,OH,Oldham,O
1527,Acrefair,52,59,3,4.8,W,WX,Wrexham,O
1541,Acres Nook,53,4.7,2,13.9,W,SF,Staffordshire,O
1552,Acton,53,3.4,2,58.6,W,WX,Wrexham,O
1553,Acton,53,4.6,2,32.7,W,CH,Cheshire East,O
1554,Acton,52,58.2,2,15.6,W,SF,Staffordshire,O
1555,Acton,52,27.2,3,0.5,W,SH,Shropshire,O
1556,Acton,52,18.3,2,13.6,W,WO,Worcestershire,O
1557,Acton,50,36.3,2,1.3,W,DT,Dorset,O
1558,Acton,52,4,0,45.9,E,SK,Suffolk,O
1562,Acton Beauchamp,52,9.1,2,28.5,W,HE,Herefordshire,O
1564,Acton Bridge,53,16.5,2,36.4,W,CC,Cheshire West and Chester,O
1567,Acton Burnell,52,36.5,2,41.2,W,SH,Shropshire,O
1578,Acton Green,52,9.1,2,26.7,W,HE,Herefordshire,O
1579,Acton Green,51,30,0,15.8,W,HS,Hounslow,O
1589,Acton Pigott,52,37.1,2,40.3,W,SH,Shropshire,O
1590,Acton Place,52,4.5,0,45,E,SK,Suffolk,O
1591,Acton Reynald,52,48.4,2,41.4,W,SH,Shropshire,O
1592,Acton Round,52,33.3,2,32.3,W,SH,Shropshire,O
1593,Acton Scott,52,30,2,48.2,W,SH,Shropshire,O
1594,Acton Trussell,52,45.8,2,5.8,W,SF,Staffordshire,O
1595,Acton Turville,51,31.4,2,16.9,W,SG,South Gloucestershire,O
1599,Adabroc,58,29.4,6,13.8,W,WI,Na h-Eileanan an Iar,O
