District,County,DistrictCode,Latitude,Longitude
"Daventry District","Northamptonshire County",E07000151,52.2925,-1.07337
"Derbyshire Dales District","Derbyshire County",E07000035,53.1415,-1.65836
"Doncaster District (B)","",E08000017,53.5313,-1.11759
"Dover District","Kent County",E07000108,51.1928,1.31669
"Dudley District (B)","",E08000027,52.4858,-2.11133
"Dumfries and Galloway","",S12000006,55.0221,-3.88541
"Dundee City","",S12000042,56.4744,-2.96405
"Ealing London Boro","",E09000009,51.5192,-0.326396
"East Ayrshire","",S12000008,55.5633,-4.41918
"East Cambridgeshire District","Cambridgeshire County",E07000009,52.349,0.289405
"East Devon District","Devon County",E07000040,50.7217,-3.25091
"East Dorset District","Dorset County",E07000049,50.8265,-1.92815
"East Dunbartonshire","",S12000045,55.9293,-4.23502
"East Hampshire District","Hampshire County",E07000085,51.069,-0.931203
"East Hertfordshire District","Hertfordshire County",E07000097,51.8438,0.017393
"East Lindsey District","Lincolnshire County",E07000137,53.2475,0.090498
"East Lothian","",S12000010,55.9672,-2.85887
"East Northamptonshire District","Northamptonshire County",E07000152,52.3765,-0.554592
"East Renfrewshire","",S12000011,55.7867,-4.33138
"East Riding of Yorkshire","",E06000011,53.8533,-0.47131
"East Staffordshire District (B)","Staffordshire County",E07000193,52.838,-1.72017
"Eastbourne District (B)","East Sussex County",E07000061,50.7816,0.284569
"Eastleigh District (B)","Hampshire County",E07000086,50.948,-1.34038
"Eden District","Cumbria County",E07000030,54.6445,-2.66768
"Elmbridge District (B)","Surrey County",E07000207,51.3693,-0.394996
"Enfield London Boro","",E09000010,51.6412,-0.080802
"Epping Forest District","Essex County",E07000072,51.682,0.097383
"Epsom and Ewell District (B)","Surrey County",E07000208,51.3449,-0.261309
"Erewash District (B)","Derbyshire County",E07000036,52.9336,-1.31194
"Exeter District (B)","Devon County",E07000041,50.7214,-3.51501
"Falkirk","",S12000014,56.0046,-3.77535
"Fareham District (B)","Hampshire County",E07000087,50.8518,-1.21278
"Fenland District","Cambridgeshire County",E07000010,52.5848,0.075511
"Fife","",S12000015,56.1714,-3.18528
"Forest Heath District","Suffolk County",E07000201,52.3312,0.491164
"Forest of Dean District","Gloucestershire County",E07000080,51.8143,-2.51633
"Fylde District (B)","Lancashire County",E07000119,53.765,-2.95855
"Gateshead District (B)","",E08000020,54.9421,-1.64743
"Gedling District (B)","Nottinghamshire County",E07000173,52.9981,-1.10901
"Glasgow City","",S12000046,55.8587,-4.26495
"Gloucester District (B)","Gloucestershire County",E07000081,51.8512,-2.2348
"Gosport District (B)","Hampshire County",E07000088,50.8039,-1.15768
"Gravesham District (B)","Kent County",E07000109,51.4216,0.375393
"Great Yarmouth District (B)","Norfolk County",E07000145,52.6146,1.70527
"Greenwich London Boro","",E09000011,51.4757,0.052745
"Guildford District (B)","Surrey County",E07000209,51.2492,-0.575431
"Gwynedd - Gwynedd","",W06000002,52.9595,-4.13886
"Hackney London Boro","",E09000012,51.5494,-0.069324
"Halton (B)","",E06000006,53.3508,-2.72286
"Hambleton District","North Yorkshire County",E07000164,54.2948,-1.35241
"Hammersmith and Fulham London Boro","",E09000013,51.4905,-0.215989
"Harborough District","Leicestershire County",E07000131,52.5128,-1.0444
"Haringey London Boro","",E09000014,51.5896,-0.104638
"Harlow District","Essex County",E07000073,51.7665,0.104705
"Harrogate District (B)","North Yorkshire County",E07000165,54.0345,-1.5318
"Harrow London Boro","",E09000015,51.5924,-0.339102
"Hart District","Hampshire County",E07000089,51.2902,-0.86773
"Hartlepool (B)","",E06000001,54.6807,-1.22642
"Hastings District (B)","East Sussex County",E07000062,50.8664,0.566759
"Havant District (B)","Hampshire County",E07000090,50.8579,-0.996595
"Havering London Boro","",E09000016,51.572,0.205961
"Hertsmere District (B)","Hertfordshire County",E07000098,51.6678,-0.283261
"High Peak District (B)","Derbyshire County",E07000037,53.3583,-1.93774
"Highland","",S12000017,57.6104,-4.36201
"Hillingdon London Boro","",E09000017,51.5432,-0.436149
"Hinckley and Bosworth District (B)","Leicestershire County",E07000132,52.5878,-1.35293
"Horsham District","West Sussex County",E07000227,51.0094,-0.361011
"Hounslow London Boro","",E09000018,51.4709,-0.350628
"Huntingdonshire District","Cambridgeshire County",E07000011,52.3388,-0.19392
"Hyndburn District (B)","Lancashire County",E07000120,53.7595,-2.38287
"Inverclyde","",S12000018,55.9348,-4.75417
"Ipswich District (B)","Suffolk County",E07000202,52.0555,1.15734
"Isle of Wight","",E06000046,50.6882,-1.25995
"Isles of Scilly","",E06000053,49.9333,-6.28313
"Islington London Boro","",E09000019,51.541,-0.108324
"Kensington and Chelsea London Boro","",E09000020,51.4991,-0.188133
"Kettering District (B)","Northamptonshire County",E07000153,52.4041,-0.738855
"King's Lynn and West Norfolk District (B)","Norfolk County",E07000146,52.7388,0.443877
"Kingston upon Thames London Boro","",E09000021,51.3974,-0.287325
"Kirklees District (B)","",E08000034,53.6606,-1.72895
"Knowsley District (B)","",E08000011,53.4324,-2.84787
"Lambeth London Boro","",E09000022,51.4577,-0.119631
"Lancaster District (B)","Lancashire County",E07000121,54.0662,-2.80659
"Leeds District (B)","",E08000035,53.8113,-1.55104
"Lewes District","East Sussex County",E07000063,50.8366,0.034554
"Lewisham London Boro","",E09000023,51.4511,-0.023759
"Lichfield District","Staffordshire County",E07000194,52.6828,-1.83733
"Lincoln District (B)","Lincolnshire County",E07000138,53.2258,-0.550216
"Liverpool District (B)","",E08000012,53.4082,-2.93145
"Luton (B)","",E06000032,51.8939,-0.431318
"Maidstone District (B)","Kent County",E07000110,51.2505,0.543252
"Maldon District (B)","Essex County",E07000074,51.7121,0.73819
"Malvern Hills District","Worcestershire County",E07000235,52.1546,-2.32736
"Manchester District (B)","",E08000003,53.4588,-2.22839
"Mansfield District","Nottinghamshire County",E07000174,53.1551,-1.18416
"Medway (B)","",E06000035,51.3808,0.540032
"Melton District (B)","Leicestershire County",E07000133,52.7918,-0.874021
"Mendip District","Somerset County",E07000187,51.2008,-2.53532
"Merthyr Tudful - Merthyr Tydfil","",W06000024,51.7344,-3.36315
"Merton London Boro","",E09000024,51.4109,-0.19455
"Mid Devon District","Devon County",E07000042,50.8708,-3.52106
"Mid Suffolk District","Suffolk County",E07000203,52.2243,1.05878
"Mid Sussex District","West Sussex County",E07000228,51.0249,-0.098399
"Middlesbrough (B)","",E06000002,54.5538,-1.22596
"Midlothian","",S12000019,55.866,-3.1088
"Milton Keynes (B)","",E06000042,52.0402,-0.750673
"Mole Valley District","Surrey County",E07000210,51.2541,-0.328108
"Moray","",S12000020,57.6188,-3.21667
"Na h-Eileanan an Iar","",S12000013,57.9675,-6.70692
"New Forest District","Hampshire County",E07000091,50.8355,-1.58572
"Newark and Sherwood District","Nottinghamshire County",E07000175,53.1073,-0.906472
"Newcastle upon Tyne District (B)","",E08000021,54.9893,-1.63653
"Newcastle-under-Lyme District (B)","Staffordshire County",E07000195,53.0236,-2.25883
"Newham London Boro","",E09000025,51.5309,0.031922
"North Ayrshire","",S12000021,55.6734,-4.7535
"North Devon District","Devon County",E07000043,51.0914,-4.01933
"North Dorset District","Dorset County",E07000050,50.9386,-2.23924
"North East Derbyshire District","Derbyshire County",E07000038,53.2352,-1.41603
"North East Lincolnshire (B)","",E06000012,53.5586,-0.096191
"North Hertfordshire District","Hertfordshire County",E07000099,51.9667,-0.20408
"North Kesteven District","Lincolnshire County",E07000139,53.0992,-0.474303
"North Lanarkshire","",S12000044,55.8531,-3.98991
"North Lincolnshire (B)","",E06000013,53.5856,-0.611167
"North Norfolk District","Norfolk County",E07000147,52.8543,1.20884
"North Somerset","",E06000024,51.3906,-2.84458
"North Tyneside District (B)","",E08000022,55.0219,-1.50256
"North Warwickshire District (B)","Warwickshire County",E07000218,52.554,-1.62362
"North West Leicestershire District","Leicestershire County",E07000134,52.744,-1.40657
"Northampton District (B)","Northamptonshire County",E07000154,52.2455,-0.886114
"Northumberland","",E06000048,55.1809,-1.80899
"Norwich District (B)","Norfolk County",E07000148,52.6325,1.28322
"Nuneaton and Bedworth District (B)","Warwickshire County",E07000219,52.5049,-1.47627
"Oadby and Wigston District (B)","Leicestershire County",E07000135,52.5895,-1.09786
"Oldham District (B)","",E08000004,53.5441,-2.10414
"Orkney Islands","",S12000023,58.9935,-3.03393
"Oxford District (B)","Oxfordshire County",E07000178,51.75,-1.2347
"Pen-y-bont ar Ogwr - Bridgend","",W06000013,51.5355,-3.60861
"Pendle District (B)","Lancashire County",E07000122,53.8576,-2.19626
"Perth and Kinross","",S12000024,56.4383,-3.51385
"Poole (B)","",E06000029,50.7336,-1.95929
"Powys - Powys","",W06000023,52.3425,-3.3468
"Preston District (B)","Lancashire County",E07000123,53.7752,-2.704
"Purbeck District","Dorset County",E07000051,50.6738,-2.07977
"Reading (B)","",E06000038,51.4529,-0.981328
"Redbridge London Boro","",E09000026,51.5816,0.068158
"Redcar and Cleveland (B)","",E06000003,54.5716,-1.06047
"Redditch District (B)","Worcestershire County",E07000236,52.2975,-1.9354
"Reigate and Banstead District (B)","Surrey County",E07000211,51.251,-0.189258
"Renfrewshire","",S12000038,55.8493,-4.46126
"Rhondda Cynon Taf - Rhondda Cynon Taf","",W06000016,51.6261,-3.40901
"Ribble Valley District (B)","Lancashire County",E07000124,53.8508,-2.44121
"Richmond upon Thames London Boro","",E09000027,51.4485,-0.317263
"Richmondshire District","North Yorkshire County",E07000166,54.3823,-1.78244
